Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C3, C5, C6, C7, C8, C9",0402,20,0.1uF,
C24,1206,1,1nF,
"C25, C26",0402,2,30pF,
C4,0603,1,10uF,
"D1, D2, D3, D4, D5, D6",0603,6,LED,
J1,BarrelJack_Wuerth_6941xx301002,1,Barrel_Jack_Switch,
J2,ETH_5-Port_RC01459,1,RB1-125BAG1A,
Q1,SOT-23,1,Si2319CDS,
R1,0402,1,560R,
"R10, R11, R12, R13, R14",0603,5,560R,
"R2, R5, R7, R8, R9",0402,5,75R,
R3,0402,1,470K,
R4,0402,1,4.7K,
R6,0402,1,6.2K,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U2, U5",BD20A01,2,BD20A01,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,24LC08,
U4,IP175GX,1,IP175GH,
U6,B1202D,1,B1202D,
Y1,Crystal_HC49-U_Vertical,1,25MHZ,
