Designator,Mid X,Mid Y,Rotation,Layer
C1,139.02,-113.62,270.0,top
C10,167.896667,-109.423333,0.0,top
C11,166.516667,-103.713333,0.0,top
C12,162.336667,-113.533333,270.0,top
C13,151.956667,-107.463333,180.0,top
C14,154.206667,-103.263333,180.0,top
C15,160.956667,-101.263333,90.0,top
C16,154.136667,-101.383333,270.0,bottom
C17,141.436667,-101.383333,270.0,bottom
C18,155.9,-104.5,180.0,top
C19,159.536667,-113.533333,270.0,top
C2,140.17,-113.62,270.0,top
C20,167.896667,-107.943333,0.0,top
C21,167.926667,-111.493333,0.0,top
C22,167.926667,-110.493333,0.0,top
C23,126.796667,-101.383333,270.0,bottom
C24,184.916667,-93.693333,180.0,bottom
C25,151.945,-117.63,0.0,bottom
C26,161.375,-117.63,180.0,bottom
C3,141.27,-113.62,270.0,top
C4,146.795,-110.74,0.0,top
C5,146.5,-109.29,0.0,top
C6,181.256667,-101.383333,270.0,bottom
C7,158.0,-114.09,180.0,top
C8,172.241667,-116.653333,0.0,top
C9,168.556667,-101.383333,270.0,bottom
D1,143.07,-109.333333,0.0,top
D2,181.816667,-115.363333,180.0,top
D3,181.816667,-112.773333,180.0,top
D4,181.816667,-110.183333,180.0,top
D5,181.816667,-107.593333,180.0,top
D6,181.816667,-105.003333,180.0,top
J1,130.766667,-110.503333,270.0,top
J2,153.496667,-79.913333,180.0,top
Q1,136.22,-114.09,180.0,top
R1,140.32,-109.333333,180.0,top
R10,185.481667,-115.363333,0.0,top
R11,185.481667,-112.773333,0.0,top
R12,185.481667,-110.183333,0.0,top
R13,185.481667,-107.593333,0.0,top
R14,185.481667,-105.003333,0.0,top
R2,181.256667,-93.183333,90.0,bottom
R3,157.97,-113.053333,180.0,top
R4,174.626667,-109.633333,0.0,top
R5,168.556667,-93.183333,90.0,bottom
R6,162.786667,-100.663333,0.0,top
R7,154.136667,-93.183333,90.0,bottom
R8,141.436667,-93.183333,90.0,bottom
R9,126.796667,-93.58,90.0,bottom
U1,146.02,-116.29,270.0,top
U2,175.096667,-94.133333,0.0,top
U3,174.236667,-113.323333,180.0,top
U4,160.936667,-108.383333,270.0,top
U5,147.976667,-94.133333,0.0,top
U6,125.796667,-93.933333,180.0,top
Y1,154.305,-117.63,0.0,top
